title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
The Cabinet of Dr. Caligari,"Horror,Mystery,Thriller",1920,Not Rated,1h 7m,Robert Wiene,"Hans Janowitz,Conrad Veidt","Werner Krauss,Conrad Veidt,Friedrich Feher","February 27, 1920 (Germany)",,266,,,https://www.imdb.com/title/tt0010323/?ref_=adv_li_tt
Male and Female,"Adventure,Drama",1919,Not Rated,1h 56m,Cecil B. DeMille,,"Thomas Meighan,Theodore Roberts,Raymond Hatton","November 23, 1919 (United States)",,18,,,https://www.imdb.com/title/tt0010418/?ref_=adv_li_tt
Stella Maris,Drama,1918,Unrated,1h 24m,Marshall Neilan,,"Mary Pickford,Ida Waterman,Herbert Standing","January 21, 1918 (United States)",,23,,,https://www.imdb.com/title/tt0009652/?ref_=adv_li_tt
The Clemenceau Case,"Crime,Drama,Romance",1915,Passed,1h,Herbert Brenon,,"Theda Bara,William E. Shay,Mrs. Allen Walker","April 12, 1915 (United States)",,1,,,https://www.imdb.com/title/tt0005100/?ref_=adv_li_tt
Blind Husbands,"Drama,Romance",1919,Not Rated,1h 42m,Erich von Stroheim,,"Sam De Grasse,Francelia Billington,Erich von Stroheim","December 7, 1919 (United States)",,16,,,https://www.imdb.com/title/tt0009937/?ref_=adv_li_tt
The Romance of Tarzan,"Action,Adventure",1918,,,Wilfred Lucas,,"Elmo Lincoln,Enid Markey,Thomas Jefferson","October 13, 1918 (United States)",,2,,,https://www.imdb.com/title/tt0009560/?ref_=adv_li_tt
The Last of the Mohicans,"Action,Adventure,Drama",1920,Not Rated,1h 13m,Clarence Brown,,"Wallace Beery,Barbara Bedford,Alan Roscoe","November 21, 1920 (United States)",,28,,,https://www.imdb.com/title/tt0011387/?ref_=adv_li_tt
Vingarne,Drama,1916,,,Mauritz Stiller,,"Nils Asther,Lili Beck,Egil Eide","September 4, 1916 (Sweden)",,3,,,https://www.imdb.com/title/tt0007522/?ref_=adv_li_tt
Sherlock Holmes,Mystery,1916,Not Rated,1h 56m,Arthur Berthelet,,"William Gillette,Marjorie Kay,Ernest Maupain","May 15, 1916 (United States)",,14,,,https://www.imdb.com/title/tt0007338/?ref_=adv_li_tt
The Life of General Villa,"Action,Adventure,Biography",1914,,,Christy Cabanne,,"Eagle Eye,Robert Harron,Irene Hunt","May 9, 1914 (United States)",,2,,,https://www.imdb.com/title/tt0004223/?ref_=adv_li_tt
Ich möchte kein Mann sein,"Comedy,Romance",1918,Not Rated,45m,Ernst Lubitsch,,"Ossi Oswalda,Curt Goetz,Ferry Sikla","November 18, 1918 (Hungary)",,19,,,https://www.imdb.com/title/tt0010281/?ref_=adv_li_tt
Daddy-Long-Legs,"Comedy,Drama",1919,Unrated,1h 25m,Marshall Neilan,,"Mary Pickford,Milla Davenport,Percy Haswell","May 11, 1919 (United States)",,21,,,https://www.imdb.com/title/tt0010040/?ref_=adv_li_tt
A Daughter of the Gods,Drama,1916,Passed,3h,Herbert Brenon,,"Annette Kellerman,William E. Shay,Hal De Forest","October 17, 1916 (United States)",,3,,,https://www.imdb.com/title/tt0006568/?ref_=adv_li_tt
The Penalty,"Crime,Drama,Horror",1920,Passed,1h 30m,Wallace Worsley,,"Charles Clary,Doris Pawn,Jim Mason","August 8, 1920 (Canada)",,49,,,https://www.imdb.com/title/tt0011565/?ref_=adv_li_tt
The Oyster Princess,Comedy,1919,Not Rated,1h,Ernst Lubitsch,,"Victor Janson,Ossi Oswalda,Harry Liedtke","June 26, 1919 (Germany)",,26,,,https://www.imdb.com/title/tt0009893/?ref_=adv_li_tt
The Son of Tarzan,"Action,Adventure",1920,,,Arthur J. Flaven,,"Kamuela C. Searle,P. Dempsey Tabler,Nita Martan",May 1920 (United States),,2,,,https://www.imdb.com/title/tt0011717/?ref_=adv_li_tt
Harakiri,Drama,1919,Not Rated,1h 20m,Fritz Lang,,"Paul Biensfeldt,Lil Dagover,Georg John","December 6, 1920 (Denmark)",,9,,,https://www.imdb.com/title/tt0010208/?ref_=adv_li_tt
The Saphead,"Comedy,Drama,Romance",1920,Not Rated,1h 17m,Herbert Blaché,,"Edward Jobson,Beulah Booker,Edward Connelly","September 20, 1920 (United States)",,24,,,https://www.imdb.com/title/tt0011652/?ref_=adv_li_tt
Tillie's Punctured Romance,Comedy,1914,Not Rated,1h 22m,Mack Sennett,,"Charles Chaplin,Marie Dressler,Mabel Normand","December 21, 1914 (United States)",,41,,,https://www.imdb.com/title/tt0004707/?ref_=adv_li_tt
The Student of Prague,"Drama,Fantasy,Horror",1913,Approved,1h 25m,Stellan Rye,,"Paul Wegener,Grete Berger,Lyda Salmonova",September 1913 (United States),,25,,,https://www.imdb.com/title/tt0003419/?ref_=adv_li_tt
The Story of the Kelly Gang,"Action,Adventure,Biography",1906,Not Rated,1h 10m,Charles Tait,,"Elizabeth Tait,John Tait,Nicholas Brierley","July 10, 1912 (United States)",,15,,,https://www.imdb.com/title/tt0000574/?ref_=adv_li_tt
The Cheat,"Drama,Romance",1915,Not Rated,59m,Cecil B. DeMille,"Jeanie Macpherson,Sessue Hayakawa","Fannie Ward,Sessue Hayakawa,Jack Dean","December 13, 1915 (United States)",,42,,,https://www.imdb.com/title/tt0005078/?ref_=adv_li_tt
Tom Sawyer,"Adventure,Comedy,Drama",1917,Unrated,59m,William Desmond Taylor,,"Jack Pickford,George Hackathorne,Alice Marvin","December 10, 1917 (United States)",,12,,,https://www.imdb.com/title/tt0008687/?ref_=adv_li_tt
The Outlaw and His Wife,Drama,1918,Not Rated,1h 12m,Victor Sjöström,,"Victor Sjöström,Edith Erastoff,John Ekman","March 12, 1921 (United States)",,15,,,https://www.imdb.com/title/tt0008879/?ref_=adv_li_tt
Fantômas: In the Shadow of the Guillotine,"Crime,Drama",1913,Not Rated,54m,Louis Feuillade,,"René Navarre,Edmund Breon,Georges Melchior","September 7, 1916 (United States)",,10,,,https://www.imdb.com/title/tt0002844/?ref_=adv_li_tt
A Romance of the Redwoods,"Adventure,Comedy,Drama",1917,Not Rated,1h 10m,Cecil B. DeMille,,"Mary Pickford,Elliott Dexter,Tully Marshall","May 14, 1917 (United States)",,13,,,https://www.imdb.com/title/tt0008519/?ref_=adv_li_tt
Till I Come Back to You,"Drama,Romance,War",1918,Passed,1h,Cecil B. DeMille,,"Bryant Washburn,Florence Vidor,Gustav von Seyffertitz","August 25, 1918 (United States)",,2,,,https://www.imdb.com/title/tt0009702/?ref_=adv_li_tt
A Little Princess,Drama,1917,,,Marshall Neilan,,"Mary Pickford,Norman Kerry,Katherine Griffith","November 11, 1917 (United States)",,5,,,https://www.imdb.com/title/tt0008196/?ref_=adv_li_tt
The Delicious Little Devil,"Comedy,Drama",1919,Passed,1h 15m,Robert Z. Leonard,,"Mae Murray,Richard Cummings,Harry L. Rattenberry","May 12, 1919 (United States)",,14,,,https://www.imdb.com/title/tt0010060/?ref_=adv_li_tt
El apóstol,"Animation,Comedy,Drama",1917,,,Quirino Cristiani,,,"November 9, 1917 (Argentina)",,2,,,https://www.imdb.com/title/tt0007646/?ref_=adv_li_tt
The Eyes of the Mummy,"Drama,Horror",1918,Approved,1h 3m,Ernst Lubitsch,,"Pola Negri,Harry Liedtke,Emil Jannings","June 25, 1922 (United States)",,21,,,https://www.imdb.com/title/tt0008854/?ref_=adv_li_tt
Headin' Home,"Biography,Comedy,Drama",1920,Not Rated,1h 11m,Lawrence C. Windom,,"Babe Ruth,Ruth Taylor,William Sheer","September 19, 1920 (United States)",,12,,,https://www.imdb.com/title/tt0011267/?ref_=adv_li_tt
Gloria's Romance,"Action,Adventure,Drama",1916,Passed,,Walter Edwin,,"Billie Burke,Henry Kolker,David Powell","May 22, 1916 (United States)",,,,,https://www.imdb.com/title/tt0006726/?ref_=adv_li_tt
Ivanhoe,"Adventure,Drama,Romance",1913,,,Herbert Brenon,,"King Baggot,Leah Baird,Herbert Brenon","September 22, 1913 (United States)",,1,,,https://www.imdb.com/title/tt0003022/?ref_=adv_li_tt
The Revenge of Tarzan,"Action,Adventure",1920,,,Harry Revier,,"Gene Pollar,Karla Schramm,Estelle Taylor","May 30, 1920 (United States)",,,,,https://www.imdb.com/title/tt0011624/?ref_=adv_li_tt
The Valley of the Giants,"Drama,Romance",1919,,,James Cruze,,"Wallace Reid,Grace Darmond,William Brunton","August 31, 1919 (United States)",,4,,,https://www.imdb.com/title/tt0010835/?ref_=adv_li_tt
Inspiration,Drama,1915,,,George Foster Platt,,"Audrey Munson,Thomas A. Curran,George Marlo","November 18, 1915 (United States)",,,,,https://www.imdb.com/title/tt0005551/?ref_=adv_li_tt
A Florida Enchantment,Comedy,1914,Unrated,1h 3m,Sidney Drew,,"Sidney Drew,Edith Storey,Charles Kent","September 4, 1916 (Sweden)",,8,,,https://www.imdb.com/title/tt0003973/?ref_=adv_li_tt
Victory,"Drama,Romance",1919,Not Rated,1h 2m,Maurice Tourneur,,"Jack Holt,Seena Owen,Wallace Beery","December 7, 1919 (United States)",,14,,,https://www.imdb.com/title/tt0010844/?ref_=adv_li_tt
Purity,Drama,1916,,,Rae Berger,,"Audrey Munson,Nigel De Brulier,Alfred Hollingsworth","July 23, 1916 (United States)",,1,,,https://www.imdb.com/title/tt0007229/?ref_=adv_li_tt
True Heart Susie,"Comedy,Drama,Romance",1919,Not Rated,1h 27m,D.W. Griffith,,"Lillian Gish,Robert Harron,Wilbur Higby","June 1, 1919 (United States)",,50,,,https://www.imdb.com/title/tt0010806/?ref_=adv_li_tt
The Spiders - Episode 1: The Golden Sea,"Adventure,Western",1919,Not Rated,2h 10m,Fritz Lang,,"Carl de Vogt,Lil Dagover,Ressel Orla","November 8, 1979 (United States)",,14,,,https://www.imdb.com/title/tt0010726/?ref_=adv_li_tt
Cinderella,"Fantasy,Drama",1914,,,James Kirkwood,,"Mary Pickford,Owen Moore,Isabel Vernon","December 28, 1914 (United States)",,10,,,https://www.imdb.com/title/tt0003772/?ref_=adv_li_tt
Little Women,"Drama,Family,Romance",1918,Not Rated,1h,Harley Knoles,,"Isabel Lamon,Dorothy Bernard,Lillian Hall","January 5, 1919 (United States)",,1,,,https://www.imdb.com/title/tt0009309/?ref_=adv_li_tt
The End of the World,"Drama,Sci-Fi",1916,,,August Blom,,"Olaf Fønss,Carl Lauritzen,Ebba Thomsen","April 1, 1916 (Denmark)",,9,,,https://www.imdb.com/title/tt0128813/?ref_=adv_li_tt
"Fanchon, the Cricket",Drama,1915,,,James Kirkwood,"James Kirkwood,Lottie Pickford","Jack Standing,Lottie Pickford,Dick Lee","May 10, 1915 (United States)",,7,,,https://www.imdb.com/title/tt0005302/?ref_=adv_li_tt
Genuine: The Tragedy of a Vampire,Horror,1920,,,Robert Wiene,,"Fern Andra,Hans Heinrich von Twardowski,Ernst Gronau","December 12, 1921 (Finland)",,19,,,https://www.imdb.com/title/tt0011221/?ref_=adv_li_tt
The Little American,"Drama,Romance,War",1917,Not Rated,1h 20m,Cecil B. DeMille,,"Mary Pickford,Jack Holt,Raymond Hatton","July 12, 1917 (United States)",,13,,,https://www.imdb.com/title/tt0008188/?ref_=adv_li_tt
Gricka vjestica,,1920,,,Hinko Nucic,,"Melita Bohinec,Bozo Miller,Vera Polak",April 1920 (Yugoslavia),,,,,https://www.imdb.com/title/tt0301368/?ref_=adv_li_tt
A Temperamental Wife,"Comedy,Romance",1919,,,David Kirkland,,"Constance Talmadge,Wyndham Standing,Ben Hendricks Sr.","September 8, 1919 (United States)",,,,,https://www.imdb.com/title/tt0010762/?ref_=adv_li_tt
Huckleberry Finn,"Comedy,Drama",1920,,,William Desmond Taylor,,"Lewis Sargent,Katherine Griffith,Martha Mattox","February 29, 1920 (United States)",,6,,,https://www.imdb.com/title/tt0011313/?ref_=adv_li_tt
The Dream Lady,"Comedy,Romance",1918,,,Elsie Jane Wilson,,"Carmel Myers,Thomas Holding,Kathleen Emerson","July 29, 1918 (United States)",,6,,,https://www.imdb.com/title/tt0009026/?ref_=adv_li_tt
The Blue Bird,"Family,Fantasy",1918,Not Rated,1h 15m,Maurice Tourneur,,"Tula Belle,Robin Macdougall,Edwin E. Reed","March 31, 1918 (United States)",,21,,,https://www.imdb.com/title/tt0008891/?ref_=adv_li_tt
Civilization,"Drama,War",1915,,,Reginald Barker,,"Howard Hickman,Enid Markey,Lola May","June 2, 1916 (United States)",,9,,,https://www.imdb.com/title/tt0006517/?ref_=adv_li_tt
Snow White,"Fantasy,Romance",1916,Unrated,1h 3m,J. Searle Dawley,,"Dorothy Cumming,Creighton Hale,Lionel Braham","December 25, 1916 (United States)",,14,,,https://www.imdb.com/title/tt0007361/?ref_=adv_li_tt
The Vampires: Satanas,"Action,Crime,Mystery",1916,,,Louis Feuillade,,"Louis Leubas,Édouard Mathé,Marcel Lévesque","December 28, 1916 (United States)",,1,,,https://www.imdb.com/title/tt2122393/?ref_=adv_li_tt
The Regeneration,"Biography,Crime,Drama",1915,Passed,1h 12m,Raoul Walsh,,"Rockliffe Fellowes,Anna Q. Nilsson,William Sheer","September 13, 1915 (United States)",,19,,,https://www.imdb.com/title/tt0005960/?ref_=adv_li_tt
Hell Bent,Western,1918,,,John Ford,,"Harry Carey,Duke R. Lee,Neva Gerber","July 6, 1918 (United States)",,5,,,https://www.imdb.com/title/tt0009153/?ref_=adv_li_tt
Rebecca of Sunnybrook Farm,"Comedy,Drama",1917,Passed,1h 18m,Marshall Neilan,,"Mary Pickford,Eugene O'Brien,Helen Jerome Eddy","September 22, 1917 (United States)",,10,,,https://www.imdb.com/title/tt0008499/?ref_=adv_li_tt
McVeagh of the South Seas,Drama,1914,,,Cyril Bruce,,"Harry Carey,Fern Foster,Herbert Russell","November 2, 1914 (United States)",,3,,,https://www.imdb.com/title/tt0004319/?ref_=adv_li_tt
Queen of the Sea,"Adventure,Fantasy,Romance",1918,Passed,50m,John G. Adolfi,,"Annette Kellerman,Hugh Thompson,Mildred Keats","September 1, 1918 (United States)",,1,,,https://www.imdb.com/title/tt0009527/?ref_=adv_li_tt
The Prisoner of Zenda,Adventure,1913,,,Hugh Ford,,"James K. Hackett,Beatrice Beckley,David Torrence","February 18, 1913 (United States)",,,,,https://www.imdb.com/title/tt0003301/?ref_=adv_li_tt
The Avenging Conscience: or 'Thou Shalt Not Kill',"Crime,Drama,Horror",1914,Not Rated,1h 18m,D.W. Griffith,,"Henry B. Walthall,Spottiswoode Aitken,Blanche Sweet","August 24, 1914 (United States)",,15,,,https://www.imdb.com/title/tt0003643/?ref_=adv_li_tt
The Mutiny of the Bounty,"Drama,Thriller",1916,,,Raymond Longford,,"George Cross,John Storm,D.L. Dalziel","September 6, 1916 (Australia)",,,,,https://www.imdb.com/title/tt0007100/?ref_=adv_li_tt
The Devil's Daughter,Drama,1915,,,Frank Powell,,"Theda Bara,Paul Doucet,Victor Benoit","June 16, 1915 (United States)",,1,,,https://www.imdb.com/title/tt0005192/?ref_=adv_li_tt
Where Are My Children?,Drama,1916,Approved,1h 2m,Phillips Smalley,,"Tyrone Power Sr.,Mrs. Tyrone Power,Marie Walcamp",May 1916 (United States),,25,,,https://www.imdb.com/title/tt0007558/?ref_=adv_li_tt
Bound and Gagged,"Action,Adventure,Comedy",1919,,,George B. Seitz,,"Marguerite Courtot,George B. Seitz,Nellie Burt","October 26, 1919 (United States)",,,,,https://www.imdb.com/title/tt0009956/?ref_=adv_li_tt
The Blacklist,Drama,1916,,,William C. de Mille,,"Blanche Sweet,Charles Clary,Ernest Joy","February 20, 1916 (United States)",,2,,,https://www.imdb.com/title/tt0006437/?ref_=adv_li_tt
The Extraordinary Adventures of Saturnino Farandola,"Adventure,Sci-Fi",1913,,,Marcel Perez,,"Marcel Perez,Nilde Baracchi,Alfredo Bertone",March 1914 (United States),,3,,,https://www.imdb.com/title/tt0310692/?ref_=adv_li_tt
Shakuntala,Drama,1920,,,Suchet Singh,,"Samson,Dorothy Kingdon,Signorina Albertini",,,,,,https://www.imdb.com/title/tt0251393/?ref_=adv_li_tt
The Unwelcome Wife,Drama,1915,,,Ivan Abramson,,"Malvine Lobel,William McNulty,Vivian Prescott",May 1915 (United States),,,,,https://www.imdb.com/title/tt0006203/?ref_=adv_li_tt
Girl from Stormy Croft,Drama,1917,,,Victor Sjöström,,"Greta Almroth,Nils Aréhn,Josua Bengtson","March 4, 1919 (United States)",,1,,,https://www.imdb.com/title/tt0008710/?ref_=adv_li_tt
Jubilo,"Comedy,Drama,Western",1919,Passed,1h 6m,Clarence G. Badger,,"Will Rogers,Josie Sedgwick,Charles K. French","December 7, 1919 (United States)",,2,,,https://www.imdb.com/title/tt0010316/?ref_=adv_li_tt
After Death,Drama,1915,,,Yevgeny Bauer,,"Vitold Polonsky,Olga Rakhmanova,Vera Karalli","December 29, 1915 (Russia)",,11,,,https://www.imdb.com/title/tt0005916/?ref_=adv_li_tt
Bucking Broadway,Western,1917,,,John Ford,,"Harry Carey,Molly Malone,L.M. Wells","December 24, 1917 (United States)",,11,,,https://www.imdb.com/title/tt0007755/?ref_=adv_li_tt
The Round-up,"Comedy,Western",1920,,,George Melford,,"Roscoe 'Fatty' Arbuckle,Mabel Julienne Scott,Irving Cummings","October 10, 1920 (United States)",,4,,,https://www.imdb.com/title/tt0011647/?ref_=adv_li_tt
'49-'17,"Drama,Western",1917,Unrated,1h 1m,Ruth Ann Baldwin,,"Joseph W. Girard,Leo Pierson,William Dyer","October 15, 1917 (United States)",,13,,,https://www.imdb.com/title/tt0007610/?ref_=adv_li_tt
April Folly,"Drama,Crime",1920,,,Robert Z. Leonard,,"Marion Davies,Conway Tearle,J. Herbert Frank","March 21, 1920 (United States)",International Film Service,3,,,https://www.imdb.com/title/tt0010964/?ref_=adv_li_tt
Shoe Palace Pinkus,Comedy,1916,,,Ernst Lubitsch,,"Ernst Lubitsch,Else Kentner,Guido Herzfeld",May 1916 (Germany),,3,,,https://www.imdb.com/title/tt0007309/?ref_=adv_li_tt
Hell's Hinges,"Romance,Western",1916,Unrated,1h 4m,Charles Swickard,,"William S. Hart,Clara Williams,Jack Standing","March 5, 1916 (United States)",,23,,,https://www.imdb.com/title/tt0006780/?ref_=adv_li_tt
The Man from Snowy River,"Action,Adventure,Drama",1920,,,Beaumont Smith,,"Cyril Mackay,Stella Southern,Tal Ordell","August 28, 1920 (Australia)",,,,,https://www.imdb.com/title/tt0344025/?ref_=adv_li_tt
The Dumb Girl of Portici,"Drama,History,Romance",1916,,,Phillips Smalley,"Lois Weber,Daniel-François Auber,Rupert Julian","Anna Pavlova,Rupert Julian,Laura Oakley","April 3, 1916 (United States)",,7,,,https://www.imdb.com/title/tt0006614/?ref_=adv_li_tt
The Springtime of Life,Drama,1912,,,Paul Garbagni,,"Victor Sjöström,Mauritz Stiller,Georg af Klercker","August 1, 1913 (United States)",,3,,,https://www.imdb.com/title/tt0176834/?ref_=adv_li_tt
Shoes,Drama,1916,TV-PG,1h,Lois Weber,,"Mary MacLaren,Harry Griffith,Mattie Witting","June 26, 1916 (United States)",,6,,,https://www.imdb.com/title/tt0007340/?ref_=adv_li_tt
Der Hund von Baskerville,"Crime,Mystery,Horror",1914,,,Rudolf Meinert,,"Alwin Neuß,Friedrich Kühne,Hanni Weisse",March 1915 (United States),,3,,,https://www.imdb.com/title/tt0004121/?ref_=adv_li_tt
The Hazards of Helen,Action,1914,,,J. Gunnis Davis,,"Helen Holmes,Helen Gibson,J.P. McGowan","November 14, 1914 (United States)",,6,,,https://www.imdb.com/title/tt0004052/?ref_=adv_li_tt
A Girl of Yesterday,Comedy,1915,,,Allan Dwan,,"Mary Pickford,Jack Pickford,Gertrude Norman","October 7, 1915 (United States)",,1,,,https://www.imdb.com/title/tt0005392/?ref_=adv_li_tt
Damon and Pythias,Drama,1914,,,Otis Turner,,"William Worthington,Herbert Rawlinson,Cleo Madison","November 23, 1914 (United States)",,1,,,https://www.imdb.com/title/tt0003816/?ref_=adv_li_tt
The House of Hate,"Action,Drama",1918,,,George B. Seitz,,"Pearl White,Antonio Moreno,John Webb Dillion","March 10, 1918 (United States)",,2,,,https://www.imdb.com/title/tt0009204/?ref_=adv_li_tt
The Exploits of Elaine,Action,1914,,,Louis J. Gasnier,,"Pearl White,Arnold Daly,Creighton Hale","December 29, 1914 (United States)",,1,,,https://www.imdb.com/title/tt0003897/?ref_=adv_li_tt
The Lightning Raider,"Action,Adventure,Crime",1919,,,George B. Seitz,,"Pearl White,Warner Oland,Henry G. Sell","January 15, 1919 (United States)",,,,,https://www.imdb.com/title/tt0010357/?ref_=adv_li_tt
The Slave Market,Adventure,1917,,,Hugh Ford,,"Pauline Frederick,Thomas Meighan,Al Hart","January 1, 1917 (United States)",,1,,,https://www.imdb.com/title/tt0182427/?ref_=adv_li_tt
The Love Flower,Drama,1920,Not Rated,1h 35m,D.W. Griffith,,"Carol Dempster,Richard Barthelmess,George MacQuarrie","August 22, 1920 (United States)",,13,,,https://www.imdb.com/title/tt0011415/?ref_=adv_li_tt
Tess of the D'Urbervilles,"Drama,Romance",1913,,,J. Searle Dawley,,"Minnie Maddern Fiske,Raymond Bond,David Torrence","September 1, 1913 (United States)",,,,,https://www.imdb.com/title/tt0003442/?ref_=adv_li_tt
Umirayushchiy lebed,Drama,1917,,,Yevgeny Bauer,,"Vera Karalli,Aleksandr Kheruvimov,Vitold Polonsky","January 17, 1917 (Russia)",,11,,,https://www.imdb.com/title/tt0186650/?ref_=adv_li_tt
The Lost Battalion,"Drama,War",1919,,,Burton L. King,,"Robert Alexander,George G. McMurtry,Charles W. Whittlesey","July 2, 1919 (United States)",,8,,,https://www.imdb.com/title/tt0010386/?ref_=adv_li_tt
The Master Mystery,"Action,Adventure,Mystery",1918,,,Harry Grossman,,"Harry Houdini,Marguerite Marsh,Ruth Stonehouse","November 18, 1918 (United States)",,3,,,https://www.imdb.com/title/tt0010446/?ref_=adv_li_tt
"Germinal; or, The Toll of Labor",Drama,1913,,,Albert Capellani,,"Mévisto,Jean Jacquinet,Henry Krauss",February 1914 (United States),,3,,,https://www.imdb.com/title/tt0002898/?ref_=adv_li_tt
Little Mary Sunshine,Drama,1916,,,Henry King,,"Marie Osborne,Henry King,Marguerite Nichols","March 3, 1916 (United States)",,7,,,https://www.imdb.com/title/tt0006932/?ref_=adv_li_tt
"Homunculus, 1. Teil","Horror,Sci-Fi",1916,,,Otto Rippert,,"Olaf Fønss,Ernst Ludwig,Adolf Paul","January 8, 1917 (Denmark)",,2,,,https://www.imdb.com/title/tt0006820/?ref_=adv_li_tt
Life Without Soul,"Drama,Horror,Sci-Fi",1915,,,Joseph W. Smiley,,"William W. Cohill,Percy Standing,George De Carlton",November 1915 (United States),,2,,,https://www.imdb.com/title/tt0005615/?ref_=adv_li_tt
The Two Orphans,Drama,1915,Passed,1h 10m,Herbert Brenon,,"Theda Bara,Jean Sothern,William E. Shay","September 5, 1915 (United States)",,1,,,https://www.imdb.com/title/tt0006190/?ref_=adv_li_tt
The Babes in the Woods,"Drama,Family,Fantasy",1917,,,Chester M. Franklin,,"Francis Carpenter,Virginia Lee Corbin,Violet Radcliffe","December 2, 1917 (United States)",,,,,https://www.imdb.com/title/tt0007669/?ref_=adv_li_tt
The Lottery Man,"Comedy,Romance",1919,,,James Cruze,,"Wallace Reid,Harrison Ford,Wanda Hawley","October 12, 1919 (United States)",,1,,,https://www.imdb.com/title/tt0010389/?ref_=adv_li_tt
"Womanhood, the Glory of the Nation","Drama,War",1917,,,J. Stuart Blackton,,"Alice Joyce,Harry T. Morey,Naomi Childers","April 9, 1917 (United States)",,1,,,https://www.imdb.com/title/tt0008787/?ref_=adv_li_tt
A Good Little Devil,Drama,1914,,,Edwin S. Porter,,"Mary Pickford,Ernest Truex,William Norris","March 1, 1914 (United States)",,1,,,https://www.imdb.com/title/tt0004027/?ref_=adv_li_tt
The Ghost Breaker,"Adventure,Horror",1914,,,Oscar Apfel,,"H.B. Warner,Rita Stanwood,Theodore Roberts","December 7, 1914 (United States)",,1,,,https://www.imdb.com/title/tt0004013/?ref_=adv_li_tt
The Nightingale,Drama,1914,Passed,,Augustus Thomas,,"Ethel Barrymore,William Courtleigh,Frank Andrews","October 5, 1914 (United States)",,,,,https://www.imdb.com/title/tt0004403/?ref_=adv_li_tt
The Devil's Passkey,Drama,1920,,,Erich von Stroheim,,"Sam De Grasse,Una Trevelyn,Clyde Fillmore","August 8, 1920 (United States)",,1,,,https://www.imdb.com/title/tt0011114/?ref_=adv_li_tt
The Toll Gate,"Adventure,Drama,Western",1920,Passed,1h 13m,Lambert Hillyer,,"William S. Hart,Anna Q. Nilsson,Joseph Singleton","April 15, 1920 (United States)",,12,,,https://www.imdb.com/title/tt0011779/?ref_=adv_li_tt
Should a Wife Forgive?,Drama,1915,,,Henry King,,"Lillian Lorraine,Mabel Van Buren,Henry King","November 8, 1915 (United States)",,1,,,https://www.imdb.com/title/tt0006039/?ref_=adv_li_tt
Otets Sergiy,"Biography,Drama,History",1918,,,Yakov Protazanov,,"Ivan Mozzhukhin,Olga Kondorova,V. Dzheneyeva",1919 (Poland),,7,,,https://www.imdb.com/title/tt0008395/?ref_=adv_li_tt
Tih Minh,"Adventure,Mystery",1918,,,Louis Feuillade,,"Mary Harald,René Cresté,Georges Biscot",November 1920 (United States),,3,,,https://www.imdb.com/title/tt0009701/?ref_=adv_li_tt
Furcht,Horror,1917,,,Robert Wiene,,"Bruno Decarli,Bernhard Goetzke,Hermann Picha","November 12, 1917 (Hungary)",,3,,,https://www.imdb.com/title/tt0007983/?ref_=adv_li_tt
The Man Who Disappeared,Thriller,1914,,,Charles Brabin,,"Marc McDermott,Barry O'Moore,Miriam Nesbitt","April 7, 1914 (United States)",,,,,https://www.imdb.com/title/tt0004292/?ref_=adv_li_tt
Daughter of the Night,Drama,1920,,,Richard Eichberg,,"Lee Parry,Violetta Napierska,Robert Scholz","February 26, 1920 (Germany)",,5,,,https://www.imdb.com/title/tt0012740/?ref_=adv_li_tt
Daphne and the Pirate,"Adventure,Drama",1916,,,Christy Cabanne,,"Lillian Gish,Elliott Dexter,Walter Long","March 5, 1916 (United States)",,,,,https://www.imdb.com/title/tt0006564/?ref_=adv_li_tt
A Tale of Two Cities,"Drama,History,Romance",1917,,,Frank Lloyd,,"William Farnum,Jewel Carmen,Charles Clary","March 11, 1917 (United States)",,6,,,https://www.imdb.com/title/tt0008652/?ref_=adv_li_tt
Anna Karenina,,1911,,,Maurice Maître,,"M. Sorochtina,M. Trojanov,Nikolai Vasilyev","February 10, 1911 (Denmark)",,,,,https://www.imdb.com/title/tt0210518/?ref_=adv_li_tt
The Idol Dancer,Drama,1920,,,D.W. Griffith,,"Richard Barthelmess,Clarine Seymour,Creighton Hale","March 21, 1920 (United States)",,3,,,https://www.imdb.com/title/tt0011324/?ref_=adv_li_tt
Die Pest in Florenz,"Drama,History,Horror",1919,,,Otto Rippert,,"Erich Bartels,Theodor Becker,Karl Bernhard","October 23, 1919 (Germany)",,3,,,https://www.imdb.com/title/tt0010559/?ref_=adv_li_tt
A Butterfly on the Wheel,Drama,1915,,,Maurice Tourneur,,"Holbrook Blinn,Vivian Martin,George Relph","November 15, 1915 (United States)",,,,,https://www.imdb.com/title/tt0005041/?ref_=adv_li_tt
The Three Godfathers,Western,1916,,,Edward LeSaint,,"Harry Carey,Stella Razeto,George Berrell","June 19, 1916 (United States)",,,,,https://www.imdb.com/title/tt0007453/?ref_=adv_li_tt
Billions,Comedy,1920,,,Ray C. Smallwood,,"Alla Nazimova,Charles Bryant,William Irving","December 6, 1920 (United States)",,,,,https://www.imdb.com/title/tt0010994/?ref_=adv_li_tt
